boundary	distance_contract	master_seed	n	nearest_l2_mean	negative_eigenmass_fraction	pairwise_l2_mean	population	positive_gram_spectrum_participation_ratio	side_count
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.028105862480480127	0.06433219939171816	0.07057255575086556	repulsive-gap[alpha=16]	2.703641577591026	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.1957377132559287	0.0006367216901041199	0.5847929826524787	repulsive-gap[alpha=1]	1.019267487668915	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.05540821271633226	0.006831349838632717	0.21039971382625974	repulsive-gap[alpha=4]	1.205615246954522	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.0005161520045076775	0.1917048019166791	0.007122536821688749	repulsive-gap[regular]	2.3004228979163845	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.17645618791629203	0.0002872916133739875	0.7501334406619615	zonogon[lengths=uniform(0.5,1.5)]	1.0140217901937465	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.13729322425113863	0.0007176899521132198	0.47927672536924354	current-baseline[delta=0.2]	1.0236314960429251	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.045164868444900134	0.05464189966528962	0.07850518823205084	primal-hull-uniform-disk[points=n+4,origin=interior]	5.689102932307076	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.010089298997357818	0.05968502725061125	0.016629202927643093	regular-mutation[steps=4,scale=0.03]	8.130915599303647	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.019096106906976846	0.053742152028881225	0.03544725020542248	repulsive-gap[alpha=16]	4.076345405978259	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.055535722611560305	0.004853945474270143	0.2245683638899259	repulsive-gap[alpha=1]	1.1688102694190945	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.02811815823482262	0.037810719549938726	0.06952867743041381	repulsive-gap[alpha=4]	2.7319772562090403	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.00016128988013761885	0.2137681637566475	0.0014991576964176005	repulsive-gap[regular]	2.498929920222648	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260716	24	0.0417262017095395	0.0029210724412353237	0.19297150983495662	zonogon[lengths=uniform(0.5,1.5)]	1.1164237781290482	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.06450858743995776	0.007085023199625217	0.37160314166105646	current-baseline[delta=0.2]	1.0992541257740696	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	17	0.039420403063636804	0.029212188171584344	0.10291521943023407	primal-hull-uniform-disk[points=n+4,origin=interior]	1.5264994631005449	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.00937772395348452	0.12509389056503672	0.027838404324603168	regular-mutation[steps=4,scale=0.03]	4.167378687756897	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.0888487083993396	0.0036221743965196567	0.3655899557809875	repulsive-gap[alpha=16]	1.0536399741044429	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.4231760615353984	0.00015590622500628873	1.5926746040574316	repulsive-gap[alpha=1]	1.0034962923683708	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.11743373318820403	0.001562511914251704	0.544856218024567	repulsive-gap[alpha=4]	1.0344556796830076	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.0003365558053587471	0.20044996633616383	0.0039030603080969393	repulsive-gap[regular]	2.1556648125671725	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.19271645890306963	0.0004344442100216018	0.707905580213232	current-baseline[delta=0.2]	1.0176352657726646	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.04599224866347668	0.040693359247860154	0.11095670129764702	primal-hull-uniform-disk[points=n+4,origin=interior]	2.881199211629245	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.010966536503412056	0.06129485035551541	0.02451555355456535	regular-mutation[steps=4,scale=0.03]	3.4943862381599344	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.02635603171957256	0.042268879797637535	0.08580674286715001	repulsive-gap[alpha=16]	1.9633419563210444	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.10345018897910074	0.0006200703665534086	0.592771963011454	repulsive-gap[alpha=1]	1.0289812332855413	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.06522344274850933	0.004979446758813389	0.28210712995550485	repulsive-gap[alpha=4]	1.1100743418552628	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.0006873444180329171	0.19560905204633142	0.00716464029428941	repulsive-gap[regular]	2.231851302737631	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.11372692312236554	0.0005145856161724385	0.6960626034281158	zonogon[lengths=uniform(0.5,1.5)]	1.0169994965835039	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.09152537253853883	0.0018454294826432715	0.29916763709492983	current-baseline[delta=0.2]	1.0795120339337192	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.04492912418109781	0.03351018275922702	0.09689214998271979	primal-hull-uniform-disk[points=n+4,origin=interior]	2.517874900172298	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.010093177581106534	0.06189169719366873	0.01567746504205561	regular-mutation[steps=4,scale=0.03]	7.321760366378093	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.018889827776240382	0.049258775999728326	0.035205468195601025	repulsive-gap[alpha=16]	4.8018819595645175	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.08529975034716626	0.0008081445546844689	0.3645074818137235	repulsive-gap[alpha=1]	1.0483138000305272	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.04040275424418909	0.017952320961833856	0.08675313261750903	repulsive-gap[alpha=4]	1.6822323300008386	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.0001301603656744234	0.2083339312019538	0.0015072945724793597	repulsive-gap[regular]	2.4641575600790366	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260717	24	0.07116661202766628	0.002081467002442893	0.22210885816648526	zonogon[lengths=uniform(0.5,1.5)]	1.0960568853190764	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.5202902900968267	0.00010979545023779375	1.7201669961728798	current-baseline[delta=0.2]	1.0034976271777487	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	17	0.049202858434973226	0.018136633171675902	0.16277822339839124	primal-hull-uniform-disk[points=n+4,origin=interior]	1.2891973998009167	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.009576877561826716	0.08986219537588246	0.026673985448985693	regular-mutation[steps=4,scale=0.03]	3.2925500115843387	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.04699723557869114	0.012987313570041948	0.22893163481553272	repulsive-gap[alpha=16]	1.1655186887427913	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.10682667896166427	0.001012419961661898	0.8138461976724856	repulsive-gap[alpha=1]	1.0216199103183428	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.081624874558677	0.005610834531534541	0.38764290388920286	repulsive-gap[alpha=4]	1.098480169230524	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.0003398774129786306	0.21315760563885158	0.0034940502372122124	repulsive-gap[regular]	2.499140599182005	3
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.08232036877426052	0.0017825621318264297	0.45096024008550234	current-baseline[delta=0.2]	1.037236101993116	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.05161146308708913	0.0456737739781784	0.11595222808556101	primal-hull-uniform-disk[points=n+4,origin=interior]	3.5126047750439002	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.010869170482512685	0.08706170172356172	0.019891834093504483	regular-mutation[steps=4,scale=0.03]	5.713119277184251	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.02951731630490073	0.07699615200578835	0.06879638337967994	repulsive-gap[alpha=16]	3.722081590074372	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.29727554399863293	0.0002237009425774748	0.8922777109350812	repulsive-gap[alpha=1]	1.009785163076732	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.06345473497356961	0.0030712911358569818	0.3193184937223382	repulsive-gap[alpha=4]	1.092491701637381	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.0006776722460291543	0.20517300109170117	0.007419500058841377	repulsive-gap[regular]	2.3760518276533893	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.13415390676489294	0.0005995531886328104	0.615654978260048	zonogon[lengths=uniform(0.5,1.5)]	1.021771912547861	4
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.0526395869197753	0.004060912121902801	0.2419913851652481	current-baseline[delta=0.2]	1.1048410495812608	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.04834762093254385	0.04481709245070952	0.09057100039396432	primal-hull-uniform-disk[points=n+4,origin=interior]	2.74041639360163	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.010946905227661285	0.060463345845143554	0.01711750043840854	regular-mutation[steps=4,scale=0.03]	8.27696311759856	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.01920388611463562	0.07606758962800038	0.03181888806318461	repulsive-gap[alpha=16]	7.962873515789366	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.05613679312762119	0.007065090076472003	0.21835942602468594	repulsive-gap[alpha=1]	1.2000911842730688	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.03313456899766377	0.028890301742656187	0.06554404147621441	repulsive-gap[alpha=4]	2.708870650248693	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.00010408915346472678	0.17318178857535393	0.0014958558382602264	repulsive-gap[regular]	2.241042486813114	6
positive Gram participation is not intrinsic/metric dimension; negative eigenmass diagnoses non-Euclidean embedding	rotation-quotient L2 on the declared support grid via circular correlation; arbitrary rotations are approximate	20260718	24	0.042545224396102525	0.0030088964866963382	0.1876834946490616	zonogon[lengths=uniform(0.5,1.5)]	1.1555984408529232	6
